Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm),Olympic Year,Mean height (inches),Mean height lower 95% uncertainty interval (inches),Mean height upper 95% uncertainty interval (inches)
Afghanistan,AFG,Men,1940,163.4389961,158.2355819,168.7209468,1960,64.34606145669291,62.297473188976376,66.42556960629922
Albania,ALB,Men,1940,169.6483128,167.31578380000002,171.91464399999998,1960,66.79067433070867,65.87235582677167,67.6829307086614
Algeria,DZA,Men,1940,169.6814897,168.29405580000002,171.06613380000002,1960,66.8037361023622,66.25750228346458,67.34887157480316
American Samoa,ASM,Men,1940,171.5728841,170.69832309999998,172.4715182,1960,67.54837956692914,67.20406421259841,67.90217251968504
Andorra,AND,Men,1940,169.2720185,164.2177155,174.32711819999997,1960,66.64252696850393,64.65264389763779,68.6327237007874
Angola,AGO,Men,1940,167.13685859999998,161.818527,172.42872830000002,1960,65.80191283464566,63.70808149606299,67.88532610236221
Antigua and Barbuda,ATG,Men,1940,169.2171709,164.1431649,174.243304,1960,66.62093342519685,64.62329326771653,68.59972598425196
Argentina,ARG,Men,1940,169.4346744,167.8168784,171.03488969999998,1960,66.70656472440945,66.06963716535434,67.33657074803149
Armenia,ARM,Men,1940,169.0948573,166.5932905,171.5167154,1960,66.57277846456692,65.58790964566928,67.52626590551182
Australia,AUS,Men,1940,174.66749769999998,174.12292730000001,175.20705859999998,1960,68.76673137795275,68.55233358267716,68.97915692913385
Austria,AUT,Men,1940,174.50063290000003,172.9873688,176.00496,1960,68.70103657480315,68.10526330708662,69.29329133858268
Azerbaijan,AZE,Men,1940,169.9212417,168.0807744,171.6785555,1960,66.8981266535433,66.17353322834646,67.58998248031496
Bahamas,BHS,Men,1940,169.2418303,164.28519690000002,174.2209459,1960,66.6306418503937,64.67921137795277,68.59092358267716
Bahrain,BHR,Men,1940,164.9887601,163.3748078,166.6386706,1960,64.95620476377952,64.32079047244095,65.60577582677166
Bangladesh,BGD,Men,1940,162.326569,161.33332819999998,163.34177319999998,1960,63.90809803149607,63.517058346456686,64.30778472440944
Barbados,BRB,Men,1940,172.16764030000002,170.6424118,173.74265469999997,1960,67.78253555118111,67.18205188976377,68.4026199606299
Belarus,BLR,Men,1940,172.499255,167.40282380000002,177.64636230000002,1960,67.91309251968504,65.90662354330709,69.93951271653545
Belgium,BEL,Men,1940,172.7722179,172.10273859999998,173.4221084,1960,68.02055822834645,67.75698370078739,68.27642062992126
