Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm),Mean height (inches),Mean height lower 95% uncertainty interval (inches),Mean height upper 95% uncertainty interval (inches),Olympic Year
Afghanistan,AFG,Men,1941,163.5041548,158.33506930000001,168.8029007,64.37171448818899,62.33664145669292,66.45783492125985,1960
Albania,ALB,Men,1941,169.7977261,167.4898564,172.040004,66.84949846456693,65.94088834645669,67.73228503937008,1960
Algeria,DZA,Men,1941,169.8384081,168.4645519,171.2055365,66.865515,66.32462673228346,67.40375452755906,1960
American Samoa,ASM,Men,1941,171.6335355,170.76439409999998,172.52700269999997,67.57225807086614,67.23007641732282,67.9240168110236,1960
Andorra,AND,Men,1941,169.4262414,164.3658041,174.45564040000002,66.7032446456693,64.71094649606299,68.683322992126,1960
Angola,AGO,Men,1941,167.2800465,161.95329850000002,172.5644279,65.85828602362204,63.76114114173229,67.93875114173228,1960
Antigua and Barbuda,ATG,Men,1941,169.3489208,164.26330190000002,174.3631441,66.67280346456693,64.6705912992126,68.64690712598426,1960
Argentina,ARG,Men,1941,169.5937314,167.9894944,171.1699278,66.76918559055117,66.13759622047245,67.38973535433071,1960
Armenia,ARM,Men,1941,169.227226,166.7717232,171.592747,66.62489212598425,65.65815874015748,67.55619960629922,1960
Australia,AUS,Men,1941,174.81677219999997,174.2710866,175.347174,68.82550086614172,68.61066401574803,69.03432047244094,1960
Austria,AUT,Men,1941,174.62162880000002,173.1113235,176.1287885,68.74867275590552,68.15406437007874,69.34204271653543,1960
Azerbaijan,AZE,Men,1941,170.0550044,168.2540608,171.74575880000003,66.95078913385827,66.24175622047244,67.61644047244096,1960
Bahamas,BHS,Men,1941,169.37364069999998,164.4154393,174.34706619999997,66.6825357086614,64.73048791338583,68.64057724409447,1960
Bahrain,BHR,Men,1941,165.14296769999999,163.5236297,166.8007222,65.01691641732283,64.37938177165354,65.66957566929133,1960
Bangladesh,BGD,Men,1941,162.4191832,161.4367613,163.4133618,63.944560314960626,63.55778003937008,64.33596921259841,1960
Barbados,BRB,Men,1941,172.3027138,170.7676749,173.8696626,67.83571409448818,67.23136807086614,68.45262307086614,1960
Belarus,BLR,Men,1941,172.6675524,167.5812075,177.81106100000002,67.97935133858267,65.97685334645669,70.00435472440945,1960
Belgium,BEL,Men,1941,172.9344961,172.2682151,173.5813908,68.08444728346456,67.82213192913386,68.33913023622047,1960
Belize,BLZ,Men,1941,165.91484309999998,163.9173579,167.94052150000002,65.32080437007873,64.53439287401575,66.11831555118111,1960
Benin,BEN,Men,1941,168.1660213,166.58631369999998,169.73452880000002,66.20709500000001,65.58516287401574,66.82461763779528,1960
Bermuda,BMU,Men,1941,169.3513702,164.50717360000002,174.3566606,66.67376779527558,64.76660377952757,68.64435456692914,1960
Bhutan,BTN,Men,1941,162.53402250000002,160.919615,164.17312130000002,63.989772637795284,63.35417913385827,64.63508712598426,1960
Bolivia,BOL,Men,1941,162.70536069999997,158.7974615,166.6651634,64.05722862204723,62.51868562992126,65.61620606299213,1960
Bosnia and Herzegovina,BIH,Men,1941,175.3903478,173.7864175,176.9516843,69.05131803149607,68.41984940944882,69.66601744094488,1960
Botswana,BWA,Men,1941,170.00290619999998,168.3588977,171.64998280000003,66.93027803149606,66.28303059055118,67.57873338582678,1960
Brazil,BRA,Men,1941,167.9648132,167.2573812,168.6679294,66.12787921259843,65.84936267716536,66.40469661417322,1960
Brunei Darussalam,BRN,Men,1941,161.0425736,156.1123017,166.0596745,63.40258803149606,61.4615361023622,65.37782460629921,1960
Bulgaria,BGR,Men,1941,172.8397054,167.8714075,177.80707890000002,68.04712811023623,66.09110531496063,70.00278696850394,1960
Burkina Faso,BFA,Men,1941,168.321801,166.273602,170.32732080000002,66.26842559055117,65.46204803149607,67.05800031496064,1960
Burundi,BDI,Men,1941,166.7650521,161.7517425,171.67899530000003,65.65553232283465,63.68178838582677,67.59015562992127,1960
Cabo Verde,CPV,Men,1941,169.46885490000003,167.7020795,171.3127344,66.72002161417323,66.0244407480315,67.44595842519685,1960
Cambodia,KHM,Men,1941,160.170444,158.3344449,162.000447,63.05922992125984,62.336395629921256,63.779703543307086,1960
Cameroon,CMR,Men,1941,168.87041069999998,167.4201529,170.284905,66.48441366141732,65.91344602362204,67.04130118110237,1960
